"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","successful login navigates to /home","Login Page","Fri Oct 24 11:23:28 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
"","24","logs out user and navigates to login page","Home Page","Fri Oct 24 11:23:27 UTC 2025","passed","Fri Oct 24 11:23:27 UTC 2025","","","",""
"","133","renders register form correctly","Register Page","Fri Oct 24 11:23:27 UTC 2025","passed","Fri Oct 24 11:23:27 UTC 2025","","","",""
"","115","renders Home page content correctly","Home Page","Fri Oct 24 11:23:27 UTC 2025","passed","Fri Oct 24 11:23:27 UTC 2025","","","",""
"","160","renders login form correctly","Login Page","Fri Oct 24 11:23:27 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
"","38","shows error when login fails","Login Page","Fri Oct 24 11:23:28 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
"","86","handles failed registration","Register Page","Fri Oct 24 11:23:28 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
"","1","should","group","Fri Oct 24 11:23:28 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
"","93","successful registration navigates to login page","Register Page","Fri Oct 24 11:23:27 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
"","27","shows error if fetch throws an exception","Login Page","Fri Oct 24 11:23:28 UTC 2025","passed","Fri Oct 24 11:23:28 UTC 2025","","","",""
