"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","shows error when login fails","Login Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","256","renders register form correctly","Register Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","140","successful registration navigates to login page","Register Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","336","renders Home page content correctly","Home Page","Fri Oct 24 11:01:40 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","3","should","group","Fri Oct 24 11:01:40 IST 2025","passed","Fri Oct 24 11:01:40 IST 2025","","","",""
"","41","logs out user and navigates to login page","Home Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","131","handles failed registration","Register Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","44","shows error if fetch throws an exception","Login Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","125","successful login navigates to /home","Login Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
"","243","renders login form correctly","Login Page","Fri Oct 24 11:01:41 IST 2025","passed","Fri Oct 24 11:01:41 IST 2025","","","",""
